City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Baculin,PH,79.0,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
15,Cobija,BO,77.13,broken clouds,-11.0267,-68.7692,Hotel Obelisco
18,Pizarro,CO,78.87,overcast clouds,4.9533,-77.366,Hotel Limonar
23,Rikitea,PF,78.46,broken clouds,-23.1203,-134.9692,People ThankYou
29,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
36,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
49,Luganville,VU,85.51,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
51,Umm Lajj,SA,76.15,broken clouds,25.0213,37.2685,Moon light Furnished Units
53,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Puerto Ayora,EC,80.42,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
65,East London,ZA,80.02,broken clouds,-33.0153,27.9116,Tu Casa
66,Kampong Cham,KH,77.45,overcast clouds,11.9934,105.4635,7 Makara Hotel
71,Pen,IN,82.44,clear sky,18.75,73.0833,Hotel Marquis Manthan
78,Arraial Do Cabo,BR,76.15,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
81,Keti Bandar,PK,78.62,scattered clouds,24.1447,67.4497,Haji laloo memon house
82,Hambantota,LK,77.83,few clouds,6.1241,81.1185,Bungalow 63
83,Namatanai,PG,83.97,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
85,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
90,Lake City,US,77.81,clear sky,30.1897,-82.6393,Ramada Limited Lake City
98,Daru,PG,76.82,overcast clouds,-9.0763,143.2092,Daru Lodge
99,Lorengau,PG,80.78,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
100,Jalpan,MX,89.17,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
101,Bandarbeyla,SO,77.43,light rain,9.4942,50.8122,JABIR HOTEL
102,Cootamundra,AU,75.94,overcast clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
105,Wad Madani,SD,80.15,clear sky,14.4012,33.5199,فندق يوغسلافيا
110,Fare,PF,82.36,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
115,Pauini,BR,75.24,light rain,-7.7136,-66.9764,Casa do Kiwliks
118,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
119,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
