City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Flinders,AU,-34.5833,150.8552,68.25,94,100,5.99,moderate rain
1,Carnarvon,AU,-24.8667,113.6333,73.47,94,53,10.36,broken clouds
2,Vaini,TO,-21.2,-175.2,82.56,83,75,13.8,broken clouds
3,Busselton,AU,-33.65,115.3333,63.61,80,99,16.13,overcast clouds
4,Baculin,PH,7.4525,126.5842,79.0,86,41,3.85,scattered clouds
5,Bara,NG,10.3744,10.7288,75.43,12,3,9.4,clear sky
6,Mandalgovi,MN,45.7625,106.2708,22.59,75,95,8.43,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.11,75,20,11.5,few clouds
8,Mataura,NZ,-46.1927,168.8643,62.46,69,100,0.98,overcast clouds
9,Qingdao,CN,36.0986,120.3719,44.67,75,4,11.32,clear sky
10,Bluff,NZ,-46.6,168.3333,61.09,78,92,6.58,overcast clouds
11,Longyearbyen,SJ,78.2186,15.6401,6.64,78,20,9.22,few clouds
12,Clyde River,CA,70.4692,-68.5914,1.63,78,0,17.27,haze
13,Jamestown,US,42.097,-79.2353,20.79,63,100,16.11,overcast clouds
14,Erenhot,CN,43.6475,111.9767,32.45,64,99,19.53,overcast clouds
15,Cobija,BO,-11.0267,-68.7692,77.13,86,80,2.75,broken clouds
16,Lagoa,PT,39.05,-27.9833,59.34,80,42,6.67,scattered clouds
17,Chokurdakh,RU,70.6333,147.9167,-6.02,97,68,4.68,broken clouds
18,Pizarro,CO,4.9533,-77.366,78.87,85,100,3.42,overcast clouds
19,Tezu,IN,27.9167,96.1667,70.2,53,75,3.33,broken clouds
20,Ushuaia,AR,-54.8,-68.3,44.26,65,75,16.11,broken clouds
21,Rocha,UY,-34.4833,-54.3333,61.21,79,1,8.1,clear sky
22,Methven,NZ,-43.6333,171.65,55.9,72,77,5.3,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,78.46,69,78,3.83,broken clouds
24,Wloclawek,PL,52.6482,19.0678,41.52,86,6,8.61,clear sky
25,Port Alfred,ZA,-33.5906,26.891,70.18,77,86,1.01,overcast clouds
26,Hobart,AU,-42.8794,147.3294,65.26,73,75,10.36,broken clouds
27,Kushiro,JP,42.975,144.3747,37.67,68,3,10.16,clear sky
28,Tungor,RU,53.3808,142.9564,20.93,82,16,5.99,few clouds
29,Hilo,US,19.7297,-155.09,82.13,65,100,13.8,overcast clouds
30,Provideniya,RU,64.3833,-173.3,14.36,67,0,7.0,clear sky
31,Saskylakh,RU,71.9167,114.0833,0.14,94,100,10.94,overcast clouds
32,Barrow,US,71.2906,-156.7887,1.42,71,0,26.46,clear sky
33,Mount Isa,AU,-20.7333,139.5,80.37,26,3,11.5,clear sky
34,Coihaique,CL,-45.5752,-72.0662,39.81,87,100,12.66,overcast clouds
35,Aklavik,CA,68.2191,-135.0107,1.81,86,97,4.68,overcast clouds
36,West Bay,KY,19.3667,-81.4167,80.67,64,20,16.11,few clouds
37,Olga,RU,43.7444,135.2892,39.45,53,45,9.28,scattered clouds
38,Lebu,CL,-37.6167,-73.65,58.26,83,37,6.85,scattered clouds
39,Nikolskoye,RU,59.7035,30.7861,24.71,93,90,8.1,light snow
